id,customer_id,store_id,employee_id,order_channel,status,subtotal,discount_amount,total_amount,order_date
1,1,2,9,in_store,completed,61.96,0.0,61.96,2026-03-01 15:08:56
2,1,2,9,in_store,completed,556.71,0.0,556.71,2025-11-01 09:49:56
3,1,1,8,online,completed,90.66,0.0,90.66,2025-09-12 18:52:21
4,1,2,3,online,completed,143.62,0.0,143.62,2025-05-29 12:25:46
5,1,2,9,in_store,completed,1095.4,0.0,1095.4,2025-03-05 13:34:36
6,1,4,5,in_store,completed,91.98,9.2,82.78,2025-12-11 11:44:28
7,1,2,9,online,completed,372.86,0.0,372.86,2026-02-23 12:50:08
8,1,2,9,app,completed,386.2,0.0,386.2,2026-03-01 17:33:22
9,1,2,3,online,completed,250.58,0.0,250.58,2025-02-20 20:04:39
10,1,2,9,in_store,completed,322.96,9.2,313.76,2025-10-11 19:59:59
11,1,2,3,online,completed,322.65,9.2,313.45,2025-01-15 12:57:00
12,1,2,9,online,completed,358.42,0.0,358.42,2025-05-06 19:21:43
13,1,1,2,app,completed,48.18,0.0,48.18,2025-08-24 13:51:50
14,1,2,9,in_store,cancelled,521.02,0.0,521.02,2025-02-09 15:25:57
15,1,2,9,in_store,completed,317.36,0.0,317.36,2025-11-17 18:41:25
16,1,2,9,app,completed,537.19,0.0,537.19,2025-01-17 13:49:07
17,1,2,3,in_store,completed,76.28,0.0,76.28,2025-11-07 09:36:16
18,1,2,3,app,completed,347.62,0.0,347.62,2025-02-12 18:02:51
19,2,2,9,in_store,completed,144.49,0.0,144.49,2026-02-19 20:41:52
20,2,1,8,online,completed,281.02,0.0,281.02,2025-10-26 18:34:38
21,2,2,9,online,completed,442.38,0.0,442.38,2025-06-13 09:44:07
22,2,2,9,phone,completed,479.57,0.0,479.57,2025-07-29 10:18:07
23,2,2,9,in_store,completed,133.04,26.6,106.44,2025-07-10 19:56:28
24,2,2,9,in_store,completed,231.9,0.0,231.9,2025-04-20 18:06:35
25,2,2,3,in_store,completed,443.58,0.0,443.58,2025-02-22 08:53:01
26,2,2,9,in_store,completed,794.73,0.0,794.73,2025-03-05 16:04:41
27,2,2,3,online,completed,505.06,0.0,505.06,2025-07-26 13:19:32
28,2,2,9,in_store,completed,1033.95,0.0,1033.95,2025-06-27 18:29:00
29,2,2,3,online,completed,181.35,0.0,181.35,2025-01-25 20:48:05
30,2,2,9,online,completed,184.34,0.0,184.34,2025-02-15 08:48:27
31,2,2,9,in_store,completed,232.52,0.0,232.52,2025-06-05 19:06:43
32,2,4,5,online,completed,99.2,0.0,99.2,2025-11-23 20:05:49
33,2,2,3,app,completed,222.45,0.0,222.45,2025-05-16 16:13:25
34,2,2,9,in_store,completed,247.31,0.0,247.31,2025-12-10 18:38:17
35,3,2,9,online,completed,386.54,0.0,386.54,2025-06-10 18:28:58
36,3,2,9,in_store,completed,625.65,0.0,625.65,2025-07-24 10:28:27
37,3,2,3,in_store,completed,415.57,0.0,415.57,2025-08-24 15:08:18
38,3,2,9,in_store,completed,225.36,0.0,225.36,2025-09-15 14:24:26
39,3,2,9,online,completed,231.28,0.0,231.28,2025-07-15 18:19:00
40,3,2,3,online,completed,65.22,0.0,65.22,2025-09-10 12:36:18
41,3,2,3,in_store,completed,33.2,0.0,33.2,2025-01-19 13:22:30
42,3,4,5,in_store,completed,189.6,12.2,177.4,2025-07-20 13:32:55
43,3,2,3,in_store,completed,344.05,0.0,344.05,2026-01-11 15:13:44
44,3,2,9,online,completed,354.48,0.0,354.48,2025-01-07 09:32:46
45,3,2,9,in_store,completed,197.63,0.0,197.63,2025-08-31 18:45:32
46,3,2,3,online,completed,187.2,0.0,187.2,2025-09-26 19:59:06
47,3,2,9,in_store,completed,688.01,0.0,688.01,2026-01-12 17:26:23
48,3,2,9,online,completed,209.34,0.0,209.34,2026-03-19 17:50:59
49,3,2,3,app,completed,72.13,0.0,72.13,2025-03-17 18:28:02
50,3,2,3,app,completed,771.05,0.0,771.05,2025-08-09 20:03:52
51,3,4,5,app,completed,514.13,0.0,514.13,2026-03-25 09:58:41
52,3,2,3,online,completed,475.14,0.0,475.14,2025-06-25 11:41:17
53,3,2,3,app,completed,331.01,0.0,331.01,2025-09-25 09:27:46
54,3,2,9,in_store,completed,496.2,0.0,496.2,2025-10-31 13:13:50
55,4,5,6,app,completed,52.5,0.0,52.5,2025-12-07 19:45:02
56,4,3,4,in_store,completed,669.23,0.0,669.23,2025-02-11 18:12:06
57,4,3,10,online,completed,162.14,0.0,162.14,2025-08-12 17:11:39
58,4,3,10,in_store,completed,288.45,0.0,288.45,2025-02-13 17:52:59
59,4,3,10,app,completed,443.79,0.0,443.79,2025-09-15 09:32:01
60,4,3,10,in_store,completed,696.44,0.0,696.44,2026-01-22 17:56:39
61,4,3,10,in_store,completed,631.24,0.0,631.24,2025-05-31 16:43:08
62,4,3,4,phone,completed,234.46,0.0,234.46,2025-01-29 10:25:39
63,4,3,4,online,completed,321.36,0.0,321.36,2025-09-19 15:44:37
64,4,3,4,online,completed,608.81,0.0,608.81,2025-12-12 09:55:05
65,4,3,4,app,completed,102.03,0.0,102.03,2025-11-06 17:02:40
66,4,3,10,in_store,completed,442.41,0.0,442.41,2025-03-04 16:28:53
67,4,3,4,in_store,completed,212.16,0.0,212.16,2025-03-05 20:35:51
68,4,3,10,online,completed,108.42,0.0,108.42,2025-09-01 18:59:01
69,4,3,10,online,completed,585.67,0.0,585.67,2025-12-24 09:40:14
70,4,3,10,online,completed,68.67,0.0,68.67,2025-11-27 16:27:14
71,4,3,4,online,completed,357.79,0.0,357.79,2025-05-22 15:20:27
72,5,5,6,in_store,completed,542.14,0.0,542.14,2025-03-19 16:35:08
73,5,5,6,online,completed,310.23,0.0,310.23,2025-10-22 19:20:51
74,5,5,6,online,completed,533.22,0.0,533.22,2025-01-24 16:28:46
75,5,2,3,app,completed,589.04,0.0,589.04,2025-02-23 17:10:48
76,5,5,6,online,completed,867.26,0.0,867.26,2025-11-20 17:02:11
77,5,5,6,app,completed,150.95,0.0,150.95,2025-09-09 12:01:00
78,5,5,6,app,completed,144.3,0.0,144.3,2025-11-19 15:31:54
79,5,5,6,app,completed,264.3,0.0,264.3,2025-02-06 14:45:17
80,5,5,6,app,completed,633.56,0.0,633.56,2025-10-14 10:34:39
81,5,5,6,online,completed,115.9,0.0,115.9,2025-01-27 13:51:54
82,5,5,6,online,completed,341.67,0.0,341.67,2025-02-04 17:34:02
83,5,5,6,in_store,completed,594.74,0.0,594.74,2025-01-30 09:08:00
84,5,5,6,online,completed,488.67,0.0,488.67,2026-02-23 20:55:00
85,6,3,4,app,completed,485.74,0.0,485.74,2025-02-06 19:50:09
86,6,5,6,online,completed,69.77,0.0,69.77,2025-06-05 12:21:03
87,6,5,6,online,completed,1330.7,18.99,1311.71,2025-07-14 10:57:49
88,6,5,6,online,completed,293.16,0.0,293.16,2026-04-05 11:00:36
89,6,5,6,online,completed,73.5,14.7,58.8,2025-07-31 09:56:58
90,6,5,6,in_store,completed,404.65,0.0,404.65,2025-04-03 18:51:48
91,6,5,6,in_store,completed,649.19,0.0,649.19,2025-02-09 12:36:57
92,6,3,4,in_store,completed,92.92,0.0,92.92,2025-12-24 20:28:14
93,6,5,6,app,refunded,86.97,0.0,86.97,2025-02-10 15:09:17
94,6,2,9,app,completed,706.45,0.0,706.45,2025-01-19 14:16:50
95,6,1,7,app,completed,439.95,0.0,439.95,2025-05-23 11:30:14
96,6,5,6,online,completed,501.0,0.0,501.0,2025-01-27 14:47:03
97,6,4,5,in_store,completed,406.23,0.0,406.23,2026-03-20 19:47:40
98,6,5,6,in_store,completed,499.09,0.0,499.09,2025-08-26 12:12:48
99,6,5,6,online,completed,220.5,0.0,220.5,2026-02-14 13:03:58
100,6,5,6,app,completed,563.01,0.0,563.01,2025-01-20 14:58:55
101,6,5,6,in_store,completed,577.35,0.0,577.35,2025-04-02 15:10:07
102,6,5,6,online,completed,119.67,0.0,119.67,2025-02-10 13:58:46
103,6,3,4,in_store,completed,98.21,0.0,98.21,2026-03-21 18:33:50
104,6,5,6,app,completed,82.11,0.0,82.11,2025-09-17 11:50:41
105,6,3,10,online,completed,138.66,0.0,138.66,2025-05-12 10:25:49
106,6,5,6,in_store,completed,352.48,0.0,352.48,2025-02-27 14:48:50
107,6,5,6,in_store,completed,649.14,0.0,649.14,2026-03-25 13:26:26
108,6,5,6,in_store,completed,346.02,0.0,346.02,2025-07-08 12:40:02
109,7,2,9,app,completed,914.13,0.0,914.13,2026-02-04 11:04:27
110,7,1,2,app,completed,403.55,0.0,403.55,2025-02-09 17:57:12
111,7,3,10,online,completed,154.02,0.0,154.02,2025-05-05 20:05:06
112,7,2,3,in_store,completed,310.9,0.0,310.9,2026-03-27 18:36:07
113,7,2,3,in_store,completed,551.71,0.0,551.71,2025-08-03 12:51:41
114,7,2,3,app,completed,428.04,0.0,428.04,2025-02-11 17:31:30
115,7,1,7,app,completed,38.67,0.0,38.67,2025-03-06 11:05:32
116,7,4,5,in_store,completed,584.95,0.0,584.95,2026-04-08 10:49:44
117,7,2,9,online,completed,657.24,0.0,657.24,2026-01-14 20:34:32
118,7,2,3,app,completed,859.35,0.0,859.35,2026-02-24 16:41:37
119,7,2,9,in_store,completed,157.78,0.0,157.78,2025-04-01 16:26:05
120,7,2,9,online,completed,276.0,0.0,276.0,2025-09-23 21:13:51
121,7,2,9,in_store,completed,174.54,0.0,174.54,2025-08-09 11:15:26
122,7,2,3,in_store,completed,498.45,0.0,498.45,2025-09-07 10:09:09
123,7,2,3,online,completed,162.63,0.0,162.63,2025-09-18 12:21:48
124,7,2,3,in_store,completed,356.18,0.0,356.18,2026-02-26 13:56:44
125,7,2,3,app,completed,661.92,0.0,661.92,2025-12-28 10:48:03
126,8,1,2,in_store,completed,736.3,0.0,736.3,2026-02-11 21:01:11
