inventory_id,store_id,product_id,size,color,quantity_on_hand,quantity_reserved,reorder_level,reorder_quantity,last_restocked_at
1,3,1,42,Grey,22,0,5,20,2025-02-07 10:00:00
2,3,1,42,Navy Blue,16,0,5,20,2025-04-26 10:00:00
3,3,1,45,Grey,39,0,5,20,2025-01-12 10:00:00
4,3,1,45,Navy Blue,31,0,5,20,2025-08-26 10:00:00
5,1,1,42,Grey,16,0,5,20,2025-10-03 10:00:00
6,1,1,42,Navy Blue,12,0,5,20,2025-05-13 10:00:00
7,1,1,45,Grey,38,0,5,20,2025-09-14 10:00:00
8,1,1,45,Navy Blue,34,0,5,20,2025-10-03 10:00:00
9,5,1,42,Grey,16,0,5,20,2025-06-21 10:00:00
10,5,1,42,Navy Blue,12,0,5,20,2025-08-15 10:00:00
11,5,1,45,Grey,30,0,5,20,2025-03-27 10:00:00
12,5,1,45,Navy Blue,19,0,5,20,2025-03-14 10:00:00
13,2,1,42,Grey,40,0,5,20,2025-01-27 10:00:00
14,2,1,42,Navy Blue,15,0,5,20,2025-09-05 10:00:00
15,2,1,45,Grey,27,0,5,20,2025-03-06 10:00:00
16,2,1,45,Navy Blue,28,0,5,20,2025-12-08 10:00:00
17,4,1,42,Grey,30,0,5,20,2025-09-10 10:00:00
18,4,1,42,Navy Blue,13,0,5,20,2025-05-07 10:00:00
19,4,1,45,Grey,25,0,5,20,2025-03-21 10:00:00
20,4,1,45,Navy Blue,27,0,5,20,2025-10-18 10:00:00
21,5,2,45,White,29,0,5,20,2025-10-02 10:00:00
22,5,2,45,Grey,9,0,5,20,2025-02-02 10:00:00
23,5,2,42,White,24,0,5,20,2025-11-07 10:00:00
24,5,2,42,Grey,34,0,5,20,2025-10-21 10:00:00
25,2,2,45,White,9,0,5,20,2025-08-21 10:00:00
26,2,2,45,Grey,26,0,5,20,2025-11-10 10:00:00
27,2,2,42,White,38,0,5,20,2025-04-26 10:00:00
28,2,2,42,Grey,33,0,5,20,2025-05-15 10:00:00
29,3,2,45,White,12,0,5,20,2025-12-02 10:00:00
30,3,2,45,Grey,18,0,5,20,2025-08-14 10:00:00
31,3,2,42,White,38,0,5,20,2025-08-07 10:00:00
32,3,2,42,Grey,29,0,5,20,2025-10-05 10:00:00
33,3,3,43,Grey,37,0,5,20,2025-02-09 10:00:00
34,3,3,43,Black,36,0,5,20,2025-04-05 10:00:00
35,3,3,41,Grey,14,0,5,20,2025-01-10 10:00:00
36,3,3,41,Black,32,0,5,20,2025-10-14 10:00:00
37,5,3,43,Grey,23,0,5,20,2025-03-27 10:00:00
38,5,3,43,Black,28,0,5,20,2025-10-24 10:00:00
39,5,3,41,Grey,28,0,5,20,2025-04-25 10:00:00
40,5,3,41,Black,18,0,5,20,2025-08-17 10:00:00
41,2,3,43,Grey,37,0,5,20,2025-08-10 10:00:00
42,2,3,43,Black,39,0,5,20,2025-01-03 10:00:00
43,2,3,41,Grey,33,0,5,20,2025-09-15 10:00:00
44,2,3,41,Black,23,0,5,20,2025-04-19 10:00:00
45,1,3,43,Grey,30,0,5,20,2025-01-02 10:00:00
46,1,3,43,Black,26,0,5,20,2025-08-20 10:00:00
47,1,3,41,Grey,38,0,5,20,2025-05-18 10:00:00
48,1,3,41,Black,8,0,5,20,2025-02-14 10:00:00
49,3,4,43,Navy Blue,20,0,5,20,2025-06-18 10:00:00
50,3,4,43,Black,26,0,5,20,2025-02-13 10:00:00
51,3,4,41,Navy Blue,40,0,5,20,2025-08-25 10:00:00
52,3,4,41,Black,25,0,5,20,2025-10-22 10:00:00
53,5,4,43,Navy Blue,15,0,5,20,2025-03-04 10:00:00
54,5,4,43,Black,33,0,5,20,2025-06-26 10:00:00
55,5,4,41,Navy Blue,29,0,5,20,2025-09-12 10:00:00
56,5,4,41,Black,17,0,5,20,2025-04-20 10:00:00
57,2,4,43,Navy Blue,40,0,5,20,2025-07-17 10:00:00
58,2,4,43,Black,10,0,5,20,2025-01-02 10:00:00
59,2,4,41,Navy Blue,16,0,5,20,2025-12-11 10:00:00
60,2,4,41,Black,38,0,5,20,2025-09-15 10:00:00
61,5,5,45,White,27,0,5,20,2025-10-11 10:00:00
62,5,5,45,Navy Blue,40,0,5,20,2025-09-18 10:00:00
63,5,5,43,White,39,0,5,20,2025-12-19 10:00:00
64,5,5,43,Navy Blue,27,0,5,20,2025-08-27 10:00:00
65,2,5,45,White,9,0,5,20,2025-06-11 10:00:00
66,2,5,45,Navy Blue,15,0,5,20,2025-07-19 10:00:00
67,2,5,43,White,27,0,5,20,2025-12-28 10:00:00
68,2,5,43,Navy Blue,9,0,5,20,2025-10-16 10:00:00
69,4,5,45,White,24,0,5,20,2025-11-26 10:00:00
70,4,5,45,Navy Blue,22,0,5,20,2025-12-02 10:00:00
71,4,5,43,White,38,0,5,20,2025-03-17 10:00:00
72,4,5,43,Navy Blue,32,0,5,20,2025-03-27 10:00:00
73,2,6,41,Grey,17,0,5,20,2025-07-23 10:00:00
74,2,6,41,White,21,0,5,20,2025-07-17 10:00:00
75,2,6,44,Grey,38,0,5,20,2025-12-24 10:00:00
76,2,6,44,White,11,0,5,20,2025-12-05 10:00:00
77,1,6,41,Grey,21,0,5,20,2025-09-11 10:00:00
78,1,6,41,White,38,0,5,20,2025-09-13 10:00:00
79,1,6,44,Grey,28,0,5,20,2025-03-15 10:00:00
80,1,6,44,White,29,0,5,20,2025-09-12 10:00:00
81,3,6,41,Grey,24,0,5,20,2025-10-16 10:00:00
82,3,6,41,White,20,0,5,20,2025-04-09 10:00:00
83,3,6,44,Grey,27,0,5,20,2025-04-10 10:00:00
84,3,6,44,White,26,0,5,20,2025-12-07 10:00:00
85,4,6,41,Grey,39,0,5,20,2025-06-16 10:00:00
86,4,6,41,White,30,0,5,20,2025-09-26 10:00:00
87,4,6,44,Grey,25,0,5,20,2025-05-04 10:00:00
88,4,6,44,White,32,0,5,20,2025-07-27 10:00:00
89,5,6,41,Grey,30,0,5,20,2025-03-10 10:00:00
90,5,6,41,White,10,0,5,20,2025-05-23 10:00:00
91,5,6,44,Grey,13,0,5,20,2025-06-15 10:00:00
92,5,6,44,White,24,0,5,20,2025-12-16 10:00:00
93,2,7,43,Black,23,0,5,20,2025-04-02 10:00:00
94,2,7,43,Grey,22,0,5,20,2025-11-08 10:00:00
95,2,7,42,Black,11,0,5,20,2025-02-14 10:00:00
96,2,7,42,Grey,29,0,5,20,2025-12-16 10:00:00
97,3,7,43,Black,14,0,5,20,2025-11-25 10:00:00
98,3,7,43,Grey,16,0,5,20,2025-01-18 10:00:00
99,3,7,42,Black,18,0,5,20,2025-07-21 10:00:00
100,3,7,42,Grey,38,0,5,20,2025-08-21 10:00:00
101,4,7,43,Black,20,0,5,20,2025-05-11 10:00:00
102,4,7,43,Grey,26,0,5,20,2025-11-02 10:00:00
103,4,7,42,Black,13,0,5,20,2025-11-19 10:00:00
104,4,7,42,Grey,22,0,5,20,2025-09-24 10:00:00
105,1,8,44,White,26,0,5,20,2025-01-01 10:00:00
106,1,8,44,Grey,27,0,5,20,2025-10-20 10:00:00
107,1,8,45,White,14,0,5,20,2025-06-10 10:00:00
108,1,8,45,Grey,37,0,5,20,2025-11-18 10:00:00
109,2,8,44,White,39,0,5,20,2025-03-28 10:00:00
110,2,8,44,Grey,40,0,5,20,2025-08-09 10:00:00
111,2,8,45,White,20,0,5,20,2025-02-11 10:00:00
112,2,8,45,Grey,18,0,5,20,2025-12-15 10:00:00
113,4,8,44,White,24,0,5,20,2025-12-06 10:00:00
114,4,8,44,Grey,8,0,5,20,2025-12-11 10:00:00
115,4,8,45,White,26,0,5,20,2025-10-22 10:00:00
116,4,8,45,Grey,20,0,5,20,2025-03-20 10:00:00
117,5,8,44,White,33,0,5,20,2025-07-17 10:00:00
118,5,8,44,Grey,28,0,5,20,2025-02-13 10:00:00
119,5,8,45,White,14,0,5,20,2025-03-05 10:00:00
120,5,8,45,Grey,38,0,5,20,2025-06-08 10:00:00
121,3,8,44,White,8,0,5,20,2025-05-13 10:00:00
122,3,8,44,Grey,23,0,5,20,2025-08-25 10:00:00
123,3,8,45,White,25,0,5,20,2025-06-10 10:00:00
124,3,8,45,Grey,8,0,5,20,2025-05-21 10:00:00
125,2,9,40,White,40,0,5,20,2025-12-25 10:00:00
126,2,9,40,Mint,27,0,5,20,2025-12-04 10:00:00
127,2,9,39,White,26,0,5,20,2025-06-20 10:00:00
128,2,9,39,Mint,22,0,5,20,2025-04-05 10:00:00
129,1,9,40,White,38,0,5,20,2025-03-15 10:00:00
130,1,9,40,Mint,31,0,5,20,2025-07-23 10:00:00
131,1,9,39,White,38,0,5,20,2025-09-26 10:00:00
132,1,9,39,Mint,21,0,5,20,2025-04-22 10:00:00
133,3,9,40,White,13,0,5,20,2025-09-15 10:00:00
134,3,9,40,Mint,31,0,5,20,2025-02-19 10:00:00
135,3,9,39,White,15,0,5,20,2025-01-27 10:00:00
136,3,9,39,Mint,40,0,5,20,2025-04-19 10:00:00
137,4,9,40,White,17,0,5,20,2025-03-11 10:00:00
138,4,9,40,Mint,36,0,5,20,2025-02-22 10:00:00
139,4,9,39,White,21,0,5,20,2025-12-19 10:00:00
140,4,9,39,Mint,39,0,5,20,2025-02-17 10:00:00
141,1,10,40,Mint,27,0,5,20,2025-12-01 10:00:00
142,1,10,40,Coral,33,0,5,20,2025-05-27 10:00:00
143,1,10,37,Mint,8,0,5,20,2025-12-07 10:00:00
144,1,10,37,Coral,12,0,5,20,2025-01-14 10:00:00
145,4,10,40,Mint,30,0,5,20,2025-12-03 10:00:00
146,4,10,40,Coral,11,0,5,20,2025-02-16 10:00:00
147,4,10,37,Mint,10,0,5,20,2025-05-14 10:00:00
148,4,10,37,Coral,19,0,5,20,2025-03-25 10:00:00
149,5,10,40,Mint,34,0,5,20,2025-06-13 10:00:00
150,5,10,40,Coral,36,0,5,20,2025-07-13 10:00:00
151,5,10,37,Mint,13,0,5,20,2025-11-22 10:00:00
152,5,10,37,Coral,16,0,5,20,2025-11-28 10:00:00
153,2,10,40,Mint,30,0,5,20,2025-02-06 10:00:00
154,2,10,40,Coral,33,0,5,20,2025-09-05 10:00:00
155,2,10,37,Mint,22,0,5,20,2025-01-25 10:00:00
156,2,10,37,Coral,9,0,5,20,2025-05-15 10:00:00
157,5,11,38,Coral,25,0,5,20,2025-04-24 10:00:00
158,5,11,38,Pink,15,0,5,20,2025-01-26 10:00:00
159,5,11,40,Coral,34,0,5,20,2025-10-25 10:00:00
160,5,11,40,Pink,9,0,5,20,2025-04-07 10:00:00
161,4,11,38,Coral,12,0,5,20,2025-02-20 10:00:00
162,4,11,38,Pink,10,0,5,20,2025-08-20 10:00:00
163,4,11,40,Coral,11,0,5,20,2025-04-24 10:00:00
164,4,11,40,Pink,10,0,5,20,2025-07-15 10:00:00
165,3,11,38,Coral,22,0,5,20,2025-09-07 10:00:00
166,3,11,38,Pink,11,0,5,20,2025-03-17 10:00:00
167,3,11,40,Coral,26,0,5,20,2025-04-27 10:00:00
168,3,11,40,Pink,28,0,5,20,2025-10-20 10:00:00
169,2,11,38,Coral,28,0,5,20,2025-04-10 10:00:00
170,2,11,38,Pink,17,0,5,20,2025-11-17 10:00:00
171,2,11,40,Coral,22,0,5,20,2025-07-10 10:00:00
172,2,11,40,Pink,25,0,5,20,2025-01-18 10:00:00
173,1,11,38,Coral,19,0,5,20,2025-11-22 10:00:00
174,1,11,38,Pink,35,0,5,20,2025-09-16 10:00:00
175,1,11,40,Coral,11,0,5,20,2025-06-21 10:00:00
